año,alcaldia,colonia,bimestre,indice_des,CPDomestico,CTDomestico,CPNODomestico,CTNODomestico,CPMixto,CTMixto,consumo_total,consumo_prom
2019,AZCAPOTZALCO,PLENITUD,3,BAJO,56.8,738.41,2.62,10.49,0.0,0.0,748.9,44.05
2019,AZCAPOTZALCO,PROVIDENCIA,3,BAJO,54.73,1751.37,0.0,0.0,59.96,659.51,2410.88,53.58
2019,AZCAPOTZALCO,PROVIDENCIA,3,BAJO,49.34,1480.33,157.18,471.53,67.58,608.24,2560.1,60.95
2019,AZCAPOTZALCO,PROVIDENCIA,3,BAJO,52.3,418.42,2.7,2.7,70.73,848.81,1269.93,60.47
2019,AZCAPOTZALCO,PROVIDENCIA,3,BAJO,39.52,2173.68,10.93,54.66,56.15,729.91,2958.25,40.52
2019,AZCAPOTZALCO,AMPLIACION SAN PEDRO XALPA,3,BAJO,93.64,1030.04,15.68,15.68,107.75,754.24,1799.96,94.73
2019,AZCAPOTZALCO,AMPLIACION SAN PEDRO XALPA,3,BAJO,57.51,747.57,25.62,25.62,108.58,434.32,1207.51,67.08
2019,AZCAPOTZALCO,AMPLIACION SAN PEDRO XALPA,3,BAJO,47.62,428.55,1.53,3.06,87.26,959.81,1391.42,63.25
2019,AZCAPOTZALCO,AMPLIACION SAN PEDRO XALPA,3,BAJO,47.54,570.54,0.0,0.0,68.14,408.85,979.39,48.97
2019,AZCAPOTZALCO,PASTEROS,3,BAJO,55.1,606.15,1.4,2.81,46.2,230.99,839.95,46.66
2019,AZCAPOTZALCO,PASTEROS,3,BAJO,30.16,1538.06,118.95,356.85,47.45,237.26,2132.17,36.14
2019,AZCAPOTZALCO,PASTEROS,3,BAJO,24.05,2284.72,23.79,71.37,77.07,616.56,2972.65,28.04
2019,AZCAPOTZALCO,PASTEROS,3,BAJO,30.69,306.9,0.0,0.0,44.63,535.56,842.46,36.63
2019,AZCAPOTZALCO,PASTEROS,3,BAJO,54.15,866.45,4.69,14.08,63.92,255.66,1136.19,49.4
2019,AZCAPOTZALCO,PASTEROS,3,BAJO,90.65,725.19,5.29,10.58,25.34,152.03,887.8,55.49
2019,AZCAPOTZALCO,PASTEROS,3,BAJO,41.43,662.81,0.66,1.32,87.29,698.33,1362.46,52.4
2019,AZCAPOTZALCO,PASTEROS,3,BAJO,36.95,665.13,21.58,86.32,30.54,152.72,904.17,33.49
2019,AZCAPOTZALCO,TIERRA NUEVA,3,BAJO,20.77,1578.58,42.38,127.14,55.92,503.28,2209.0,25.1
2019,AZCAPOTZALCO,TIERRA NUEVA,3,BAJO,68.24,955.41,4.27,4.27,82.59,165.18,1124.86,66.17
2019,AZCAPOTZALCO,TIERRA NUEVA,3,BAJO,47.19,802.17,39.66,39.66,78.86,157.71,999.54,49.98
2019,AZCAPOTZALCO,TIERRA NUEVA,3,BAJO,46.98,375.83,1.22,1.22,32.94,32.94,409.99,41.0
2019,AZCAPOTZALCO,SANTA INES,3,BAJO,17.89,2755.32,27.34,136.71,0.0,0.0,2892.03,18.19
2019,AZCAPOTZALCO,SAN ANTONIO,3,MEDIO,24.83,844.1,6.1,12.2,71.38,142.75,999.05,26.29
2019,AZCAPOTZALCO,SAN ANTONIO,3,MEDIO,29.26,994.79,0.0,0.0,31.73,95.18,1089.97,27.95
2019,AZCAPOTZALCO,SAN ANTONIO,3,MEDIO,20.25,566.91,2.01,8.05,36.36,36.36,611.32,18.52
2019,AZCAPOTZALCO,TIERRA NUEVA,3,BAJO,19.04,133.28,3.6,7.2,68.71,137.42,277.9,25.26
2019,AZCAPOTZALCO,SAN ANTONIO,3,MEDIO,32.19,579.46,0.24,0.24,64.63,258.52,838.22,36.44
2019,AZCAPOTZALCO,PUEBLO SAN MARTIN XOCHINAHUAC,3,BAJO,21.58,18366.46,16.77,33.55,58.6,292.98,18692.99,21.79
